Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Population, total",SP.POP.TOTL,180671000,183691000,186538000,189242000,191889000,194303000,196560000,198712000,200706000,202677000,205052000,207661000,209896000,211909000,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523,
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,8.199855839,8.225849464,8.233386915,8.23253771,8.231043672,8.230498097,8.300635499,8.366037208,8.427059619,8.478982858,8.516392544,8.615592748,8.690162836,8.751574073,8.80737803,8.857961778,9.001723492,9.148959474,9.304603824,9.462125821,9.611427946,9.721429004,9.808799341,9.883681535,9.955523295,10.02672631,10.14581365,10.24988364,10.33782494,10.40644598,10.45466422,10.51466543,10.55403284,10.57419133,10.57319777,10.55028036,10.53300837,10.49903085,10.45512267,10.40976106,10.37102213,10.41157625,10.45099343,10.49580621,10.5500705,10.61563901,10.72241834,10.83950383,10.97944966,11.15799909,11.38478894,11.67091445,11.99569985,12.34894036,12.71661971,13.0913826,13.48890339,13.87786504,14.26517692,14.66124093,
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,6.921553705,6.819212398,6.693170799,6.549346108,6.399562247,6.254859285,6.125154509,5.991005442,5.854646745,5.728504382,5.629434564,5.575353402,5.541536033,5.528195507,5.544039863,5.600335234,5.676085448,5.763175383,5.839652627,5.916484324,6.028418569,6.276008318,6.571699959,6.878963351,7.158337575,7.396081623,7.628200811,7.815813163,7.959249029,8.077434903,8.189813022,8.294283926,8.403595259,8.50243944,8.576309349,8.622282911,8.602241442,8.561523124,8.493334146,8.389263849,8.250180879,8.086138067,7.883332597,7.662091214,7.448299559,7.256337329,7.069573639,6.906524095,6.764589079,6.640463166,6.535231983,6.452853149,6.395181462,6.360769832,6.348645673,6.357959894,6.384887327,6.428542265,6.486387224,6.554700356,
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,9.549929207,9.70312279,9.813903457,9.894824026,9.970751779,10.06046835,10.16632316,10.27669935,10.36517533,10.41333341,10.41583098,10.36176446,10.26036483,10.12049271,9.942343331,9.717323102,9.520572827,9.298892951,9.060481168,8.826244414,8.613857537,8.357932024,8.132727363,7.930799277,7.749007872,7.590296436,7.468984145,7.375679071,7.302838005,7.246239078,7.206172095,7.220901952,7.259570767,7.308858607,7.360009029,7.408161944,7.457384594,7.513382696,7.566679176,7.611093185,7.644570917,7.683157545,7.704761151,7.705983826,7.674556231,7.59428985,7.467389461,7.330366044,7.193834722,7.079992108,7.006083641,6.917439652,6.846914773,6.787467855,6.732337042,6.6817644,6.674819197,6.670024311,6.661853361,6.636407673,
Wanted fertility rate (births per woman),SP.DYN.WFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,81.741,79.185,76.629,74.6802,72.7314,70.7826,68.8338,66.885,65.7818,64.6786,63.5754,62.4722,61.369,59.642,57.915,56.188,54.461,52.734,52.4856,52.2372,51.9888,51.7404,51.492,51.8474,52.2028,52.5582,52.9136,53.269,54.5174,55.7658,57.0142,58.2626,59.511,57.8868,56.2626,54.6384,53.0142,51.39,49.6484,47.9068,46.1652,44.4236,42.682,42.0618,41.4416,40.8214,40.2012,39.581,37.2522,34.9234,32.5946,30.2658,27.937,26.3216,24.7062,23.0908,21.4754,19.86,18.5562,,
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.150000095,7.900000095,7.170000076,6.170000076,5.630000114,5.440000057,4.940000057,4.420000076,4.119999886,3.900000095,4.800000191,5.929999828,6.269999981,5.639999866,5.070000172,4.619999886,4.730000019,6.099999905,10.27999973,10.51000023,9.369999886,8.220000267,7.630000114,6.260000229,5.369999886,4.940000057,4.400000095,3.950000048,3.720000029,
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.34000015,14.17000008,13.31000042,12.43000031,12.06000042,11.93999958,11.28999996,10.31000042,9.789999962,9.210000038,10.43999958,11.89999962,12.31999969,11.73999977,11.17000008,10.35999966,10.39999962,12.68000031,17.44000053,18.29000092,17.20000076,16.39999962,15.43000031,13.27999973,11.51000023,10.31999969,9.140000343,8.520000458,8.300000191,
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.29000092,74.66999817,74.76000214,74.41999817,74.23999786,74.26999664,74.29000092,74.37000275,74.26999664,74.19999695,74.19999695,73.66000366,73.16000366,72.47000122,72.22000122,72.16000366,72.27999878,71.98999786,71.76999664,70.73999786,69.90000153,69.33000183,69.55999756,68.95999908,68.51999664,68.41000366,68.55000305,68.48000336,68.45999908,68.58999634,
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,56.40000153,56.29999924,55.79999924,55.20000076,55.29999924,55.79999924,57.09999847,57.70000076,57.70000076,58.90000153,59.79999924,59.90000153,61.79999924,63.70000076,64.90000153,64.59999847,65.30000305,66.69999695,68.19999695,68.59999847,68.09999847,67.69999695,67.19999695,67.09999847,67.69999695,68.30000305,68.59999847,68.40000153,68.40000153,68.59999847,67.30000305,66,66.09999847,66.09999847,66.55000305,66.44000244,65.69999695,65.70999908,65.87000275,65.48000336,65.80999756,64.52999878,63.27999878,61.56000137,61.13999939,60.77999878,60.61999893,59.38999939,58.77999878,56.86000061,55.16999817,54.97000122,55.81999969,55.04999924,55.00999832,55,55.15999985,55.47000122,55.22000122,55.88000107,53.90999985
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95999908,25.82999992,25.70999908,25.63999939,25.48999977,25.30999947,25.12999916,24.92000008,24.69000053,24.44000053,23.73999977,22.75,22.45000076,22.38999939,22.26000023,22.35000038,22.13999939,21.45999908,20,19.63999939,19.70999908,19.73999977,19.95000076,19.97999954,19.86000061,19.78000069,19.72999954,19.87000084,19.90999985,
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.63999939,60.43000031,60.72999954,61.65999985,62.11000061,62.40000153,63.00999832,63.31000137,63.56000137,63.77000046,62.91999817,61.90000153,61.38999939,61.43000031,61.74000168,62.13999939,61.97000122,61.20999908,58.36000061,57.45000076,57.36000061,57.95999908,57.88999939,58.36000061,58.72999954,59.13000107,59.58000183,59.88999939,60.27000046,56.31000137
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,63.40000153,61.40000153,62.09999847,60.79999924,61.09999847,62.40000153,63.70000076,63.90000153,63,63.40000153,61.70000076,60.70000076,62.79999924,65.69999695,65.30000305,60.40000153,62.09999847,64.19999695,66.09999847,66.5,63.5,62.20000076,58.70000076,59.20000076,62.29999924,62.70000076,63,63.20000076,64.09999847,64.69999695,63.5,60.29999924,59.70000076,60.09999847,61.06000137,61.54000092,60.22000122,60.29999924,60.79000092,61.02000046,61.91999817,59.36999893,57.09000015,55.33000183,55.54999924,55.15000153,56.20999908,54.43000031,52.25,46.70000076,44.93000031,45.99000168,47.66999817,46.93999863,48.20999908,49,50.04999924,50.79999924,50.58000183,51.27999878,46.40999985
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,1.7,,,,,1.2,,,,,,,1.2,,,,,1.2,1.5,1.2,1.5,1.2,1.2,1.2,1.5,1.2,1.2,1.5,1.5,1.7,1.7,1.5,1.7,1.5,1.7,1.5,1.7,1.7,1.7,1.7,2,1.7,1.7,1.7,1.7,,
Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,2.1,,,,,2.3,,,,,,,2,,,,,2,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.7,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.7,1.7,,
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54235458,5.96851349,6.32175112,6.52229786,6.61047077,6.62959194,6.80947447,6.92363548,7.25218725,7.87894869,7.95006084,7.93388987,7.90685177,7.93758345,8.23691463,8.47222233,8.59051895,8.54503059,8.51236343,,
Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,12.4,,,,
Diarrhea treatment (% of children under 5 who received ORS packet),SH.STA.ORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99.2,99.2,99.3,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.5,99.3,99.3,99.4,99.4,99.3,99.3,99.3,99.2,99.3,99.3,99.2,98.5,99.1,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,15.7,15.4,15,14.5,14.1,13.6,13.2,12.7,12.3,12,11.8,11.7,11.7,11.8,12.1,12.4,12.7,13.1,13.5,13.9,14.3,14.7,15,15.4,15.8,16.2,,,,
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.22,,
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,96.97277071,,,
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.87245327,,,,,,,,,,88.10431931,,,,,88.04283144,,,,88.14498048,
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,,,,,4.46,,,,,4.38,,,,,4.61,,,4.64,,
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.22716,27.50228,,,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.94467926,36.47357178,37.20069122,,38.06288147,38.048069,38.3180809,39.31583023,40.16514969,40.78956985,40.82641983,41.15227127,42.31298065,,43.79341125,,
"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,,,,1003000,,,,,,,,,,,,,,,,,,,,,1320775,1341314,1369314,1394080,,1464242,,,,,,,,,,,,,,,,1638605.75,1661375,,1694959,,,
"School enrollment, secondary (% net)",SE.SEC.NENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.34377,,,,,88.38466,89.75284,89.29903,89.46575,89.86874,91.27156,92.18317,92.45022,,,
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,,,,,,,,,,,66.80000305,,,,,,,,,,77.17913818,,,,,,,,,,,,,,,,,,,,,,,,85.43373108,85.4364624,86.3811264,,87.22640228,87.13266754,87.66014862,88.04637146,88.03672791,88.62399292,88.85883331,88.75894165,89.59838867,,90.15920258,,
"Children out of school, primary",SE.PRM.UNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135557,,,,,575132,887458,672416,611514,,446256,88850,104711,141533,,
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,99.74214172,101.1528015,98.78533173,98.34320831,99.04173279,100.5642471,100.9434433,,,105.7243195,104.3563766,,102.8505707,102.6023483,103.5521317,102.9014969,,103.8884888,103.3504105,99.92623901,101.2398071,100.3472214,101.2331772,100.992157,101.3106003,102.5948715,102.9345779,103.3226929,102.4064178,99.8181076,99.59455872,98.3895874,99.0333786,99.50208282,100.287262,101.276413,101.4219971,101.196373,,
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,53.6375885,53.99037933,54.01789093,,,60.2517395,63.03438187,64.37212372,60.9702301,61.93286896,66.00380707,,,,71.10864258,71.61125946,,,,,,,,,71.65000916,,,,,69.39203644,69.94812012,71.92095947,71.59928131,72.35993195,72.68505859,72.08895874,72.72670746,71.61488342,,
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40813.23695,40201.47467,41029.36753,41597.43762,42686.88394,43335.50289,44457.37436,45828.72322,47290.59706,49008.17094,50503.98839,50566.3014,50948.52042,52006.66987,53553.60641,54902.37385,55799.58175,56524.50991,56073.69001,54144.47458,55247.60233,55816.33746,56611.78842,57229.12173,58251.32823,59430.98237,59935.44125,61018.95198,62512.91499,,
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,5.26E+12,5.43E+12,5.71E+12,6.03E+12,5.95E+12,5.95E+12,6.27E+12,6.54E+12,6.90E+12,7.11E+12,7.04E+12,7.23E+12,7.11E+12,7.46E+12,8.00E+12,8.34E+12,8.62E+12,8.90E+12,9.27E+12,9.61E+12,9.77E+12,9.78E+12,1.01E+13,1.04E+13,1.08E+13,1.11E+13,1.15E+13,1.21E+13,1.26E+13,1.32E+13,1.37E+13,1.39E+13,1.41E+13,1.45E+13,1.51E+13,1.56E+13,1.60E+13,1.63E+13,1.62E+13,1.59E+13,1.62E+13,1.65E+13,1.68E+13,1.72E+13,1.76E+13,1.82E+13,1.86E+13,1.90E+13,1.96E+13,2.00E+13,
GDP (constant LCU),NY.GDP.MKTP.KN,3.46E+12,3.54E+12,3.75E+12,3.92E+12,4.14E+12,4.41E+12,4.70E+12,4.81E+12,5.05E+12,5.20E+12,5.18E+12,5.36E+12,5.64E+12,5.96E+12,5.92E+12,5.91E+12,6.23E+12,6.52E+12,6.88E+12,7.10E+12,7.08E+12,7.26E+12,7.13E+12,7.45E+12,7.99E+12,8.33E+12,8.61E+12,8.91E+12,9.28E+12,9.63E+12,9.81E+12,9.80E+12,1.01E+13,1.04E+13,1.08E+13,1.11E+13,1.16E+13,1.21E+13,1.26E+13,1.32E+13,1.38E+13,1.39E+13,1.41E+13,1.45E+13,1.51E+13,1.56E+13,1.61E+13,1.64E+13,1.63E+13,1.59E+13,1.63E+13,1.66E+13,1.70E+13,1.73E+13,1.77E+13,1.82E+13,1.85E+13,1.90E+13,1.95E+13,1.99E+13,
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.743334456,3.381755673,2.278908386,2.369280275,2.135378736,2.096831266,1.831030848,1.724390999,1.125520404,1.443803518,2.235474411,2.193425336,1.581763014,1.857095198,2.692212128,3.114942351,3.026204637,2.686278908,1.945131704,0.762349991,1.165250541,2.088903778,1.917849008,1.754915786,1.849827467,1.041461871,1.035268879,1.88368859,2.436001896,1.941945236,
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,21.53833123,21.51375066,22.08468989,23.67835133,22.56576321,20.91960246,21.50830952,22.19919622,23.44586221,23.63807387,22.27698446,23.39227568,21.60531617,19.90139916,21.93526659,20.49765271,19.22137214,19.72385718,20.55429765,19.89887791,18.94942471,18.99938492,17.91467024,17.35927344,18.14329233,18.90882017,19.70450441,20.80373671,21.20769016,20.82196605,20.55804109,19.40645451,18.20185312,17.35085429,17.64680947,18.03374139,18.95926559,17.51538312,15.34644929,14.04285718,15.38002646,16.24724209,18.30137887,18.82310899,19.79959672,19.73311295,18.38385324,18.38441793,18.31846444,,
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80902863,72.41981986,72.69831347,72.81623449,74.01237875,74.88053184,74.61061486,74.15927505,74.01600247,73.70302434,73.90257667,74.52582894,76.44395484,76.20629856,75.86333549,76.14853221,75.77446189,75.81233912,76.79607774,77.51224303,77.19788567,76.8904032,,
"Industry (including construction), value added (constant 2010 US$)",NV.IND.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45E+12,2.54E+12,2.68E+12,2.82E+12,2.72E+12,2.72E+12,2.80E+12,2.96E+12,3.00E+12,3.13E+12,3.19E+12,3.08E+12,2.84E+12,2.90E+12,2.91E+12,2.96E+12,3.03E+12,3.11E+12,3.17E+12,3.19E+12,3.28E+12,3.38E+12,,
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15E+11,1.10E+11,1.11E+11,1.18E+11,1.20E+11,1.06E+11,1.28E+11,1.54E+11,1.49E+11,1.38E+11,1.54E+11,1.57E+11,1.40E+11,1.56E+11,1.89E+11,1.88E+11,2.24E+11,2.08E+11,1.89E+11,1.75E+11,1.84E+11,1.78E+11,,
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,,,,,,,,,,,,5.449968852,7.817006405,8.987419657,-4.828666241,-12.41663816,14.97177644,11.02080374,10.68032709,3.853116263,-7.704101012,6.77104484,-10.1760395,8.670421516,23.74250336,2.402964749,1.811257515,3.499409841,1.688886248,3.622641271,-1.027051881,-5.253821833,5.505542519,5.379421972,9.034862613,2.864560865,7.591727651,9.481793453,8.660396357,7.951287976,6.097963354,-3.99244469,0.472452386,4.131582653,7.824860015,5.609039186,3.057204552,-1.619300781,-6.213792223,-16.59589497,10.45754258,4.218059544,7.662970984,4.665742553,4.394881094,5.047991243,-0.922271601,3.31892903,5.758466598,2.136446173,
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,,,,,,,,,,,1.92E+11,1.95E+11,2.10E+11,2.50E+11,2.70E+11,2.68E+11,2.80E+11,2.86E+11,3.17E+11,3.48E+11,3.85E+11,3.90E+11,3.60E+11,3.51E+11,3.79E+11,3.92E+11,4.22E+11,4.68E+11,5.44E+11,6.07E+11,6.61E+11,7.05E+11,7.53E+11,7.78E+11,8.47E+11,9.34E+11,1.01E+12,1.13E+12,1.16E+12,1.21E+12,1.32E+12,1.24E+12,1.22E+12,1.24E+12,1.37E+12,1.46E+12,1.60E+12,1.74E+12,1.84E+12,1.68E+12,1.89E+12,2.02E+12,2.09E+12,2.17E+12,2.26E+12,2.27E+12,2.27E+12,2.36E+12,2.43E+12,2.43E+12,
Final consumption expenditure (current US$),NE.CON.TOTL.CD,,,,,,,,,,,8.40E+11,9.09E+11,9.94E+11,1.09E+12,1.20E+12,1.33E+12,1.46E+12,1.62E+12,1.79E+12,1.99E+12,2.20E+12,2.44E+12,2.63E+12,2.88E+12,3.13E+12,3.40E+12,3.62E+12,3.85E+12,4.15E+12,4.46E+12,4.76E+12,4.95E+12,5.25E+12,5.53E+12,5.83E+12,6.10E+12,6.42E+12,6.76E+12,7.14E+12,7.63E+12,8.20E+12,8.60E+12,8.99E+12,9.47E+12,1.01E+13,1.07E+13,1.13E+13,1.19E+13,1.23E+13,1.23E+13,1.27E+13,1.32E+13,1.35E+13,1.38E+13,1.44E+13,1.49E+13,1.54E+13,1.61E+13,1.69E+13,1.75E+13,
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,,,,,,,,,,,1.93E+11,2.09E+11,2.25E+11,2.39E+11,2.65E+11,2.97E+11,3.15E+11,3.41E+11,3.71E+11,4.05E+11,4.54E+11,5.07E+11,5.55E+11,5.95E+11,6.35E+11,6.91E+11,7.38E+11,7.77E+11,8.20E+11,8.81E+11,9.48E+11,1.00E+12,1.05E+12,1.07E+12,1.11E+12,1.14E+12,1.17E+12,1.22E+12,1.27E+12,1.35E+12,1.44E+12,1.54E+12,1.65E+12,1.75E+12,1.85E+12,1.96E+12,2.07E+12,2.20E+12,2.35E+12,2.43E+12,2.51E+12,2.51E+12,2.52E+12,2.53E+12,2.57E+12,2.61E+12,2.66E+12,2.74E+12,2.89E+12,3.00E+12,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,,,3.68,,3.67,,3.728529,,3.752486,,3.78,,
Liner shipping connectivity index (maximum value in 2004 = 100),IS.SHP.GCNW.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,87.62,82.80093589,81.64513268,76.49273213,78.2194979,76.03097275,83.32358755,84.15678889,85.39064528,88.2414692,89.36088011,88.76314042,90.02253907,90.68713652,90.00179151,
CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,46837,52509,63745,55545,62600,65100,69253,71292,78345,94401,127346,123319,127837,150419,161055,188850,212510,234610,246611,260761,292464,216309,212637,221739,250366,263677,276110,303501,292726,265943,281461,305209,313325,323340,342578,374976,393242,448214,464833,492729,
Investment in ICT with private participation (current US$),IE.PPI.ICTI.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time required to start a business, female (days)",IC.REG.DURS.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,5.6,5.6,5.6,5.6,5.6,4.2,
Firms experiencing losses due to theft and vandalism (% of firms),IC.FRM.THEV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time to export, border compliance (hours)",IC.EXP.TMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,
"Human capital index (HCI), male, upper bound (scale 0-1)",HD.HCI.OVRL.UB.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688444257,,,,,,,0.736,0.707485318,,0.695437014
Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,6.509707458,6.146850131,8.323381464,7.483387185,7.763681121,8.194070081,7.622690178,9.468538783,10.44615935,11.64882799,12.89540952,12.90999928,14.25555722,15.81753555,15.19526953,15.05535909,15.27641568,15.360957,15.27236522,15.53663296,15.22251042,14.3635163,14.18633129,14.92793258,15.62294899,15.29858823,14.9232619,13.82486365,12.86214928,16.03888128,13.71800749,12.32004787,12.24750557,12.72909372,13.07963028,13.50714166,11.53703539,9.572038001,9.727261775,10.75828883,10.87207012,10.77347747,11.02140967,10.4727716,10.74336199,10.93389551,11.7584355,11.97618212,
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,,,,,,,,,,,,,2.228983398,1.9957278,1.886070413,2.276224333,3.064011521,2.224243426,2.512618355,2.438328366,2.142259897,2.027329193,2.224496929,2.318778918,2.793691036,2.703242559,2.883355177,2.848059595,2.941335496,2.704257768,2.693651251,2.522264531,2.685099846,2.678381935,2.617030071,2.317265055,2.04523921,1.777107543,1.647530494,1.561679568,1.504177854,1.644599079,1.848702376,1.994543798,1.998169431,1.81897459,1.707849298,1.761979801,1.92670368,2.01708241,2.219563509,2.14314424,2.111057916,2.008656342,1.947163495,1.864792994,1.839579043,1.682788928,2.612282582,3.619983342,
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,,,,,,,,,,,,,3520000000,3250000000,2850000000,3990000000,5170000000,5970000000,7860000000,9000000000,9430000000,13910000000,13460000000,13820000000,14820000000,14900000000,14320000000,16190000000,17450000000,17440000000,18690000000,19580000000,21440000000,22310000000,23090000000,17280000000,26450000000,22070000000,27800000000,37650000000,42650000000,1.57E+11,1.75E+11,1.90E+11,2.04E+11,2.14E+11,2.16E+11,2.41E+11,2.48E+11,2.68E+11,2.90E+11,2.85E+11,2.74E+11,2.57E+11,2.51E+11,2.24E+11,2.49E+11,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57781219,,,87.69114685,,,85.21856689,,,
